Date (TU);Valeur (en cm);Statut;Qualification;Méthode;Continuité
2025-01-01T00:05:00.000Z;68,4;12;20;10;0
2025-01-01T00:10:00.000Z;67,8;12;20;10;0
2025-01-01T00:20:00.000Z;67,6;12;20;10;0
2025-01-01T00:35:00.000Z;68,2;12;20;10;0
2025-01-01T00:45:00.000Z;67,6;12;20;10;0
2025-01-01T00:55:00.000Z;67,9;12;20;10;0
2025-01-01T01:00:00.000Z;68,4;12;20;10;0
2025-01-01T01:15:00.000Z;67,6;12;20;10;0
2025-01-01T01:25:00.000Z;67,6;12;20;10;0
2025-01-01T01:30:00.000Z;68;12;20;10;0
2025-01-01T01:45:00.000Z;68,3;12;20;10;0
2025-01-01T02:00:00.000Z;67,4;12;20;10;0
2025-01-01T02:10:00.000Z;67,8;12;20;10;0
2025-01-01T02:15:00.000Z;68,3;12;20;10;0
2025-01-01T02:45:00.000Z;67,8;12;20;10;0
2025-01-01T03:10:00.000Z;68,4;12;20;10;0
2025-01-01T03:20:00.000Z;67,2;12;20;10;0
2025-01-01T03:25:00.000Z;66,9;12;20;10;0
2025-01-01T03:40:00.000Z;68;12;20;10;0
2025-01-01T03:55:00.000Z;68,1;12;20;10;0
2025-01-01T04:05:00.000Z;67,9;12;20;10;0
2025-01-01T04:10:00.000Z;67,3;12;20;10;0
2025-01-01T04:15:00.000Z;67,2;12;20;10;0
2025-01-01T04:25:00.000Z;67,8;12;20;10;0
2025-01-01T04:40:00.000Z;67,3;12;20;10;0
2025-01-01T04:45:00.000Z;67,7;12;20;10;0
2025-01-01T05:15:00.000Z;67,8;12;20;10;0
2025-01-01T05:20:00.000Z;67,5;12;20;10;0
2025-01-01T05:25:00.000Z;67,6;12;20;10;0
2025-01-01T05:30:00.000Z;66,8;12;20;10;0
2025-01-01T05:40:00.000Z;67;12;20;10;0
2025-01-01T05:45:00.000Z;67,9;12;20;10;0
2025-01-01T05:55:00.000Z;67,8;12;20;10;0
2025-01-01T06:10:00.000Z;68;12;20;10;0
2025-01-01T06:15:00.000Z;67,5;12;20;10;0
2025-01-01T06:30:00.000Z;68;12;20;10;0
2025-01-01T07:05:00.000Z;67,2;12;20;10;0
2025-01-01T07:20:00.000Z;68,4;12;20;10;0
2025-01-01T07:35:00.000Z;67,6;12;20;10;0
2025-01-01T07:40:00.000Z;68,1;12;20;10;0
2025-01-01T07:50:00.000Z;68,4;12;20;10;0
2025-01-01T08:00:00.000Z;68;12;20;10;0
2025-01-01T08:25:00.000Z;68;12;20;10;0
2025-01-01T08:35:00.000Z;67,8;12;20;10;0
2025-01-01T08:50:00.000Z;68;12;20;10;0
2025-01-01T08:55:00.000Z;67,6;12;20;10;0
2025-01-01T09:10:00.000Z;67,9;12;20;10;0
2025-01-01T09:20:00.000Z;67,2;12;20;10;0
2025-01-01T09:40:00.000Z;67,5;12;20;10;0
2025-01-01T09:50:00.000Z;68,2;12;20;10;0
2025-01-01T10:00:00.000Z;67,5;12;20;10;0
2025-01-01T10:15:00.000Z;68;12;20;10;0
2025-01-01T10:30:00.000Z;67,2;12;20;10;0
2025-01-01T10:40:00.000Z;67,2;12;20;10;0
2025-01-01T11:00:00.000Z;67,8;12;20;10;0
2025-01-01T11:15:00.000Z;67;12;20;10;0
2025-01-01T11:30:00.000Z;67,5;12;20;10;0
2025-01-01T12:00:00.000Z;66,9;12;20;10;0
2025-01-01T12:10:00.000Z;67,8;12;20;10;0
2025-01-01T12:15:00.000Z;67,8;12;20;10;0
2025-01-01T12:25:00.000Z;66,3;12;20;10;0
2025-01-01T12:55:00.000Z;67,7;12;20;10;0
2025-01-01T13:10:00.000Z;67,3;12;20;10;0
2025-01-01T13:40:00.000Z;67,4;12;20;10;0
2025-01-01T13:55:00.000Z;67;12;20;10;0
2025-01-01T14:05:00.000Z;67,8;12;20;10;0
2025-01-01T14:20:00.000Z;67,5;12;20;10;0
2025-01-01T14:25:00.000Z;67,9;12;20;10;0
2025-01-01T14:30:00.000Z;67,2;12;20;10;0
2025-01-01T14:35:00.000Z;67,4;12;20;10;0
2025-01-01T14:40:00.000Z;67;12;20;10;0
2025-01-01T14:45:00.000Z;67,3;12;20;10;0
2025-01-01T14:50:00.000Z;66,9;12;20;10;0
2025-01-01T15:00:00.000Z;67,2;12;20;10;0
2025-01-01T15:10:00.000Z;67,9;12;20;10;0
2025-01-01T15:15:00.000Z;67,9;12;20;10;0
2025-01-01T15:25:00.000Z;67,1;12;20;10;0
2025-01-01T15:35:00.000Z;67,9;12;20;10;0
2025-01-01T15:45:00.000Z;68;12;20;10;0
2025-01-01T15:50:00.000Z;67,5;12;20;10;0
2025-01-01T16:00:00.000Z;67,4;12;20;10;0
2025-01-01T16:10:00.000Z;68;12;20;10;0
2025-01-01T16:15:00.000Z;67,4;12;20;10;0
2025-01-01T16:25:00.000Z;67;12;20;10;0
2025-01-01T16:45:00.000Z;68,2;12;20;10;0
2025-01-01T16:50:00.000Z;67,6;12;20;10;0
2025-01-01T17:00:00.000Z;67,2;12;20;10;0
2025-01-01T17:15:00.000Z;67,5;12;20;10;0
2025-01-01T17:30:00.000Z;67;12;20;10;0
2025-01-01T17:45:00.000Z;67,8;12;20;10;0
2025-01-01T18:00:00.000Z;67,3;12;20;10;0
2025-01-01T18:20:00.000Z;67,9;12;20;10;0
2025-01-01T18:25:00.000Z;67,6;12;20;10;0
2025-01-01T18:40:00.000Z;67,7;12;20;10;0
2025-01-01T18:45:00.000Z;67,4;12;20;10;0
2025-01-01T18:55:00.000Z;67,8;12;20;10;0
2025-01-01T19:10:00.000Z;67;12;20;10;0
2025-01-01T19:25:00.000Z;68,1;12;20;10;0
2025-01-01T19:30:00.000Z;67,9;12;20;10;0
2025-01-01T19:35:00.000Z;68,2;12;20;10;0
2025-01-01T19:40:00.000Z;67,8;12;20;10;0
2025-01-01T20:05:00.000Z;67,5;12;20;10;0
2025-01-01T20:20:00.000Z;68;12;20;10;0
2025-01-01T20:35:00.000Z;67;12;20;10;0
2025-01-01T21:05:00.000Z;68;12;20;10;0
2025-01-01T21:20:00.000Z;67,1;12;20;10;0
2025-01-01T22:00:00.000Z;67,7;12;20;10;0
2025-01-01T22:15:00.000Z;66,8;12;20;10;0
2025-01-01T22:30:00.000Z;67,3;12;20;10;0
2025-01-01T22:35:00.000Z;67,2;12;20;10;0
2025-01-01T22:40:00.000Z;66,7;12;20;10;0
2025-01-01T22:55:00.000Z;66,7;12;20;10;0
2025-01-01T23:00:00.000Z;67;12;20;10;0
2025-01-01T23:15:00.000Z;66,9;12;20;10;0
2025-01-01T23:40:00.000Z;67,5;12;20;10;0
2025-01-01T23:50:00.000Z;67,2;12;20;10;0
2025-01-01T23:55:00.000Z;67,3;12;20;10;0
2025-01-02T00:00:00.000Z;67;12;20;10;0
2025-01-02T00:05:00.000Z;67,3;12;20;10;0
2025-01-02T00:30:00.000Z;67,3;12;20;10;0
2025-01-02T00:40:00.000Z;66,7;12;20;10;0
2025-01-02T00:55:00.000Z;67,9;12;20;10;0
2025-01-02T01:00:00.000Z;67,6;12;20;10;0
2025-01-02T01:05:00.000Z;66,9;12;20;10;0
2025-01-02T01:15:00.000Z;66,7;12;20;10;0
2025-01-02T01:20:00.000Z;67,2;12;20;10;0
2025-01-02T01:25:00.000Z;67;12;20;10;0
2025-01-02T01:40:00.000Z;67,2;12;20;10;0
2025-01-02T02:05:00.000Z;66,9;12;20;10;0
2025-01-02T02:20:00.000Z;68;12;20;10;0
2025-01-02T02:35:00.000Z;67,4;12;20;10;0
2025-01-02T02:45:00.000Z;67,7;12;20;10;0
2025-01-02T03:05:00.000Z;67,3;12;20;10;0
2025-01-02T03:15:00.000Z;67,4;12;20;10;0
2025-01-02T03:45:00.000Z;66,8;12;20;10;0
2025-01-02T04:00:00.000Z;67,5;12;20;10;0
2025-01-02T04:20:00.000Z;67;12;20;10;0
2025-01-02T04:40:00.000Z;67;12;20;10;0
2025-01-02T04:45:00.000Z;66,5;12;20;10;0
2025-01-02T04:50:00.000Z;66,7;12;20;10;0
2025-01-02T04:55:00.000Z;66,4;12;20;10;0
2025-01-02T05:00:00.000Z;67;12;20;10;0
2025-01-02T05:10:00.000Z;67,5;12;20;10;0
2025-01-02T05:50:00.000Z;66,7;12;20;10;0
2025-01-02T06:30:00.000Z;67,3;12;20;10;0
2025-01-02T06:50:00.000Z;67,2;12;20;10;0
2025-01-02T07:00:00.000Z;66,7;12;20;10;0
2025-01-02T07:15:00.000Z;67,2;12;20;10;0
2025-01-02T07:20:00.000Z;66,8;12;20;10;0
2025-01-02T07:35:00.000Z;67,5;12;20;10;0
2025-01-02T07:45:00.000Z;67,3;12;20;10;0
2025-01-02T08:05:00.000Z;67,4;12;20;10;0
2025-01-02T08:15:00.000Z;68,1;12;20;10;0
2025-01-02T08:35:00.000Z;67,9;12;20;10;0
2025-01-02T08:45:00.000Z;67;12;20;10;0
2025-01-02T08:50:00.000Z;67;12;20;10;0
2025-01-02T09:00:00.000Z;67,8;12;20;10;0
2025-01-02T09:10:00.000Z;67,1;12;20;10;0
2025-01-02T09:20:00.000Z;67,7;12;20;10;0
2025-01-02T09:25:00.000Z;68,7;12;20;10;0
2025-01-02T09:35:00.000Z;69,6;12;20;10;0
2025-01-02T09:40:00.000Z;69,6;12;20;10;0
2025-01-02T09:45:00.000Z;69,3;12;20;10;0
2025-01-02T09:50:00.000Z;68,1;12;20;10;0
2025-01-02T09:55:00.000Z;67,6;12;20;10;0
2025-01-02T10:00:00.000Z;67,5;12;20;10;0
2025-01-02T10:05:00.000Z;67,9;12;20;10;0
2025-01-02T10:25:00.000Z;67,1;12;20;10;0
2025-01-02T10:40:00.000Z;67,9;12;20;10;0
2025-01-02T10:55:00.000Z;67,3;12;20;10;0
2025-01-02T11:15:00.000Z;67,7;12;20;10;0
2025-01-02T11:25:00.000Z;68,4;12;20;10;0
2025-01-02T11:40:00.000Z;67,1;12;20;10;0
2025-01-02T11:55:00.000Z;67,2;12;20;10;0
2025-01-02T12:05:00.000Z;67,7;12;20;10;0
2025-01-02T12:15:00.000Z;67,1;12;20;10;0
2025-01-02T12:30:00.000Z;68,6;12;20;10;0
2025-01-02T12:50:00.000Z;66,6;12;20;10;0
2025-01-02T13:05:00.000Z;67,5;12;20;10;0
2025-01-02T13:20:00.000Z;67,4;12;20;10;0
2025-01-02T13:30:00.000Z;68,6;12;20;10;0
2025-01-02T13:35:00.000Z;68,9;12;20;10;0
2025-01-02T13:50:00.000Z;67,1;12;20;10;0
2025-01-02T13:55:00.000Z;66,8;12;20;10;0
2025-01-02T14:00:00.000Z;67,4;12;20;10;0
2025-01-02T14:10:00.000Z;67,7;12;20;10;0
2025-01-02T14:15:00.000Z;67,4;12;20;10;0
2025-01-02T14:30:00.000Z;67,4;12;20;10;0
2025-01-02T14:45:00.000Z;66,7;12;20;10;0
2025-01-02T14:50:00.000Z;67,3;12;20;10;0
2025-01-02T14:55:00.000Z;67;12;20;10;0
2025-01-02T15:00:00.000Z;67,3;12;20;10;0
2025-01-02T15:05:00.000Z;66,9;12;20;10;0
2025-01-02T15:25:00.000Z;66,9;12;20;10;0
2025-01-02T15:30:00.000Z;66,4;12;20;10;0
2025-01-02T15:40:00.000Z;66,6;12;20;10;0
2025-01-02T15:45:00.000Z;67,1;12;20;10;0
2025-01-02T16:10:00.000Z;67,8;12;20;10;0
2025-01-02T16:15:00.000Z;68,3;12;20;10;0
2025-01-02T16:20:00.000Z;68,4;12;20;10;0
2025-01-02T16:35:00.000Z;67,4;12;20;10;0
2025-01-02T16:50:00.000Z;67;12;20;10;0
2025-01-02T17:05:00.000Z;68,2;12;20;10;0
2025-01-02T17:15:00.000Z;68,2;12;20;10;0
2025-01-02T17:20:00.000Z;68,5;12;20;10;0
2025-01-02T17:35:00.000Z;69,4;12;20;10;0
2025-01-02T17:40:00.000Z;70;12;20;10;0
2025-01-02T17:50:00.000Z;70;12;20;10;0
2025-01-02T17:55:00.000Z;69,2;12;20;10;0
2025-01-02T18:00:00.000Z;69,2;12;20;10;0
2025-01-02T18:05:00.000Z;69,9;12;20;10;0
2025-01-02T18:10:00.000Z;71,1;12;20;10;0
2025-01-02T18:15:00.000Z;72,4;12;20;10;0
2025-01-02T18:20:00.000Z;74,1;12;20;10;0
