Date/Heure;Nom;Quantité;Sens;Taille;Tracking;Turbidité
2025-02-19 05:11:03.020;TRF;1;0;0;;1
2025-02-02 00:14:45.209;TRF;1;0;0;;1
2025-02-02 00:17:30.542;TRF;1;0;0;;1
2025-02-02 00:48:12.792;TRF;1;0;0;;1
2025-02-02 01:03:14.784;TRF;1;0;0;;1
2025-02-02 01:13:32.923;TRF;1;0;0;;1
2025-02-02 01:27:10.060;TRF;1;0;0;;1
2025-02-02 02:26:30.955;TRF;1;0;0;;1
2025-02-02 02:36:16.217;TRF;1;0;0;;1
2025-02-02 04:42:09.161;TRF;1;0;0;;1
2025-02-02 04:42:23.945;TRF;1;0;0;;1
2025-02-02 05:57:59.680;TRF;1;0;0;;1
2025-02-02 06:32:24.691;TRF;1;0;0;;3
2025-02-02 07:22:02.992;TRF;1;0;0;;3
2025-02-02 08:06:52.774;TRF;1;0;0;;3
2025-02-02 08:09:30.925;TRF;1;0;0;;3
2025-02-02 17:20:51.836;TRF;1;0;0;;3
2025-02-02 17:23:14.162;TRF;1;0;0;;3
2025-02-02 17:23:23.740;TRF;1;0;0;;3
2025-02-02 17:35:40.394;TRF;1;0;0;;3
2025-02-02 17:38:51.488;TRF;1;0;0;;3
2025-02-02 17:42:03.435;TRF;1;0;0;;3
2025-02-02 17:53:02.372;TRF;1;0;0;;3
2025-02-02 17:53:02.142;TRF;1;0;0;;3
2025-02-02 18:13:12.575;TRF;1;0;0;;3
2025-02-02 18:13:33.040;TRF;1;0;0;;3
2025-02-02 18:13:44.704;TRF;1;0;0;;3
2025-02-02 18:13:50.988;TRF;1;1;175;;3
2025-02-02 19:38:49.886;TRF;1;0;0;;3
2025-02-02 19:40:17.347;TRF;1;0;0;;3
2025-02-02 23:15:39.203;TRF;1;0;0;;3
2025-02-02 23:17:40.124;TRF;1;0;0;;3
2025-02-02 23:35:20.428;TRF;1;0;0;;3
2025-02-02 23:39:10.581;TRF;1;0;0;;3
2025-02-01 00:13:14.648;TRF;1;1;274;;3
2025-02-01 07:41:04.898;TRF;1;0;0;;3
2025-02-01 08:23:02.142;TRF;1;0;0;;3
2025-02-01 17:54:40.086;TRF;1;0;0;;3
2025-02-01 18:05:13.080;TRF;1;0;0;;3
2025-02-01 18:16:02.854;TRF;1;0;0;;3
2025-02-01 18:20:36.334;TRF;1;0;0;;3
2025-02-01 18:20:39.317;TRF;1;0;0;;3
2025-02-01 18:21:23.274;ZFE;1;0;0;;3
2025-02-01 20:20:59.882;TRF;1;0;0;;3
2025-02-01 20:23:20.342;TRF;1;0;0;;3
2025-02-01 21:01:36.895;TRF;1;0;0;;3
2025-02-01 21:08:22.602;TRF;1;0;0;;3
2025-02-01 21:09:06.052;TRF;1;0;0;;3
2025-02-01 21:42:18.814;TRF;1;0;0;;3
2025-02-01 22:06:15.305;TRF;1;1;239;;3
2025-02-01 22:32:11.940;TRF;1;0;0;;3
2025-02-03 00:07:12.041;TRF;1;0;0;;7
2025-02-03 08:00:06.377;TRF;1;0;0;;7
2025-02-03 08:00:21.627;TRF;1;0;0;;7
2025-02-03 07:58:15.293;TRF;1;0;0;;7
2025-02-03 08:13:50.364;TRF;1;0;0;;7
2025-02-03 18:13:05.428;TRF;1;0;0;;7
2025-02-03 19:02:07.285;TRF;1;0;0;;7
2025-02-03 20:11:13.825;TRF;1;0;0;;7
2025-02-03 20:14:41.976;TRF;1;0;0;;7
2025-02-03 22:24:48.893;TRF;1;0;0;;7
2025-02-03 22:28:44.817;TRF;1;0;0;;3
2025-02-04 00:39:18.770;TRF;1;0;0;;3
2025-02-04 00:43:05.865;TRF;1;0;0;;3
2025-02-04 00:54:38.138;TRF;1;0;0;;3
2025-02-04 01:49:02.453;TRF;1;0;0;;3
2025-02-04 02:10:44.468;TRF;1;0;0;;3
2025-02-04 02:21:43.950;TRF;1;0;0;;3
2025-02-04 02:50:50.412;TRF;1;0;0;;3
2025-02-04 02:54:10.461;TRF;1;0;0;;3
2025-02-04 03:11:03.320;TRF;1;0;0;;3
2025-02-04 03:50:56.055;TRF;1;0;0;;3
2025-02-04 04:36:07.173;TRF;1;0;0;;3
2025-02-04 07:54:49.581;TRF;1;0;0;;3
2025-02-04 07:57:18.195;TRF;1;0;0;;3
2025-02-04 07:58:16.397;TRF;1;0;0;;3
2025-02-04 08:06:02.391;TRF;1;0;0;;3
2025-02-05 07:54:15.233;TRF;1;0;0;;3
2025-02-05 16:33:17.092;TRF;1;1;283;;3
2025-02-05 17:49:52.155;TRF;1;1;283;;3
2025-02-05 17:50:44.565;TRF;1;0;0;;3
2025-02-05 17:51:51.844;TRF;1;0;0;;3
2025-02-05 20:24:09.191;TRF;1;1;194;;3
2025-02-06 00:27:05.280;TRF;1;0;0;;3
2025-02-06 04:20:05.078;TRF;1;0;0;;3
2025-02-06 04:20:07.199;TRF;1;0;0;;3
2025-02-06 07:46:34.878;TRF;1;0;0;;3
